group,test_case,n,capacity,total_value,total_weight,time
00Uncorrelated,00Uncorrelated/n00100/R10000/s000.kp,50,14778,20995,14721,0.0
00Uncorrelated,00Uncorrelated/n00100/R10000/s092.kp,100,240126,428112,240023,0.0
00Uncorrelated,00Uncorrelated/n00200/R10000/s093.kp,200,490304,831001,490149,0.0
00Uncorrelated,00Uncorrelated/n00500/R10000/s066.kp,500,1242167,1988202,1242127,0.0009927749633789062
00Uncorrelated,00Uncorrelated/n01000/R01000/s034.kp,1000,246017,421162,246017,0.0
00Uncorrelated,00Uncorrelated/n02000/R01000/s018.kp,2000,495648,809645,495646,0.0
00Uncorrelated,00Uncorrelated/n05000/R10000/s043.kp,5000,12385500,20192009,12385494,0.000997304916381836
00Uncorrelated,00Uncorrelated/n10000/R01000/s021.kp,10000,2496605,4037248,2496605,0.000988006591796875
01WeaklyCorrelated,01WeaklyCorrelated/n00050/R10000/s027.kp,50,132640,142678,132539,0.0
01WeaklyCorrelated,01WeaklyCorrelated/n00100/R01000/s058.kp,100,24819,27303,24815,0.0009403228759765625
01WeaklyCorrelated,01WeaklyCorrelated/n00200/R01000/s034.kp,200,52878,58264,52877,0.0009584426879882812
01WeaklyCorrelated,01WeaklyCorrelated/n00500/R10000/s075.kp,500,1225681,1364592,1225663,0.0
01WeaklyCorrelated,01WeaklyCorrelated/n01000/R01000/s011.kp,1000,251473,275806,251472,0.0019614696502685547
01WeaklyCorrelated,01WeaklyCorrelated/n02000/R01000/s030.kp,2000,493353,544946,493353,0.0009984970092773438
01WeaklyCorrelated,01WeaklyCorrelated/n05000/R10000/s044.kp,5000,12285041,13622132,12285041,0.007974624633789062
01WeaklyCorrelated,01WeaklyCorrelated/n10000/R01000/s042.kp,10000,2478934,2742627,2478934,2.5633862018585205
02StronglyCorrelated,02StronglyCorrelated/n00050/R10000/s011.kp,50,126465,161437,126437,0.0
02StronglyCorrelated,02StronglyCorrelated/n00100/R10000/s095.kp,100,250187,318187,250187,180.01063132286072
02StronglyCorrelated,02StronglyCorrelated/n00200/R10000/s096.kp,200,477359,618359,477359,22.03138256072998
02StronglyCorrelated,02StronglyCorrelated/n00500/R10000/s073.kp,500,1210869,1561600,1208600,180.0272798538208
02StronglyCorrelated,02StronglyCorrelated/n01000/R10000/s097.kp,1000,2484554,3187401,2483401,180.08740210533142
